b	e	p	r	l	keff	
0.343822	0.767693	0.259377	0.954955	0.474776	0.40408	
0.469619	0.92111	0.156865	0.338694	0.646718	0.12216	
0.0558489	0.944487	0.675253	0.214362	0.13831	0.03952	
0.881588	0.259194	0.271889	0.552599	0.987915	0.28608	
0.967589	0.403241	0.973601	0.0264901	0.887906	0.21174	
0.723136	0.318857	0.244667	0.964293	0.905667	0.62607	
0.0516984	0.809168	0.681631	0.922147	0.249397	0.14702	
0.0159307	0.853694	0.138371	0.0755333	0.834956	0.05841	
0.222022	0.88049	0.584368	0.772454	0.79693	0.24214	
0.181341	0.879238	0.849452	0.0201422	0.944914	0.05692	
0.959838	0.143468	0.545183	0.104648	0.764672	0.16891	
0.756188	0.279489	0.515336	0.698691	0.0518204	0.26721	
0.574114	0.41612	0.100467	0.159856	0.913297	0.09167	
0.136052	0.0254219	0.372662	0.585253	0.783898	0.09264	
0.953856	0.0186773	0.548784	0.602374	0.556536	0.33501	
0.45436	0.922605	0.623829	0.00836207	0.47148	0.091	
0.0356761	0.207251	0.936216	0.314737	0.0938749	0.03031	
0.0765099	0.504563	0.414441	0.381573	0.0533769	0.04422	
0.987823	0.62682	0.983123	0.357433	0.615345	0.33966	
0.652211	0.576952	0.587512	0.826014	0.926328	0.5262	
0.863369	0.579424	0.594623	0.493881	0.156316	0.27131	
0.394513	0.821131	0.961089	0.828486	0.225196	0.33685	
0.904233	0.932493	0.498032	0.726859	0.134587	0.41984	
0.342326	0.00265511	0.43556	0.564745	0.385388	0.12458	
0.0637532	0.349956	0.876125	0.244575	0.495193	0.04334	
0.503159	0.167089	0.0705283	0.568346	0.268563	0.13388	
0.748558	0.276803	0.839686	0.0591449	0.123112	0.12023	
0.501358	0.208533	0.428785	0.273415	0.131199	0.08933	
0.0154729	0.0544145	0.248299	0.677328	0.029725	0.05267	
0.502335	0.31962	0.687124	0.922971	0.31135	0.45287	
0.481277	0.140019	0.839961	0.965056	0.654958	0.5539	
0.203894	0.49205	0.742637	0.825068	0.0378124	0.1361	
0.562059	0.833796	0.0632954	0.542802	0.193426	0.15363	
0.768487	0.418958	0.803003	0.512955	0.690786	0.32405	
0.985504	0.157048	0.00271615	0.426923	0.643391	0.16366	
0.196539	0.529527	0.375134	0.320017	0.494797	0.07263	
0.0549028	0.266671	0.118625	0.549608	0.449965	0.08176	
0.424543	0.0928678	0.80578	0.57738	0.83993	0.20939	
0.552812	0.482711	0.703665	0.00820948	0.693899	0.10578	
0.908444	0.810663	0.194189	0.637623	0.430769	0.3384	
0.918363	0.7828	0.782525	0.826044	0.60213	0.64765	
0.531571	0.0227668	0.120518	0.74749	0.703269	0.23611	
0.920286	0.840297	0.292947	0.128544	0.046205	0.12931	
0.0272225	0.40202	0.0575579	0.192175	0.661855	0.0621	
0.479751	0.0357982	0.960875	0.231758	0.303964	0.10439	
0.59151	0.566027	0.288125	0.45381	0.653706	0.18264	
0.578753	0.56859	0.0299692	0.0518815	0.17185	0.06911	
0.200446	0.946287	0.996826	0.367351	0.030488	0.05865	
0.368297	0.523453	0.97528	0.445631	0.324259	0.14743	
0.66979	0.669271	0.396344	0.0789514	0.818079	0.12401	
